,MAE_AR_HEXOG,MAPE_AR_HEXOG,MAE_LGBM_HEXOG,MAPE_LGBM_HEXOG,MAE_AR_NonHEXOG,MAPE_AR_NonHEXOG,MAE_LGBM_NonHEXOG,MAPE_LGBM_NonHEXOG,new_index
1970-01-01 00:00:00.000000028,2420.144329159978,0.0797839577891826,2350.1212248775105,0.07782420905356771,3259.7309929871058,0.11275945789344538,2181.650330602406,0.07360641294008187,2018-12-25
1970-01-01 00:00:00.000000029,2404.7406453289013,0.07981530832133422,2316.84401957338,0.0771064091122323,3304.613724791115,0.11577905232391864,2142.3700357497696,0.07256391253334889,2018-09-15
1970-01-01 00:00:00.000000030,2525.5926979616197,0.08316578287564291,2420.8584015587307,0.07993873250203037,3399.810998114473,0.11787463294061838,2215.539531423768,0.07447577669958037,2018-10-07
1970-01-01 00:00:00.000000031,2521.25970678691,0.08302491919018364,2415.2793974938722,0.07974078221624377,3414.7063204127426,0.11809334145912609,2197.008898940119,0.07385459550076243,2018-10-26
1970-01-01 00:00:00.000000032,2492.754859832935,0.08224285082282415,2379.0382321629218,0.07870457541518253,3389.4360990520845,0.11756555756102399,2182.716509375513,0.07353016989150218,2018-12-21
1970-01-01 00:00:00.000000033,2495.4076735633976,0.08212526950639817,2392.3706205374124,0.078949757336677,3438.953032981882,0.1189375775703764,2185.4685851325503,0.07341462392216026,2018-10-02
1970-01-01 00:00:00.000000034,2440.415688455184,0.08035785607139002,2332.545977445214,0.07700191437419651,3426.965951237136,0.11880397868306665,2138.2177484168037,0.07186586676956336,2018-11-02
1970-01-01 00:00:00.000000035,2474.591884485204,0.08254791807663629,2327.592108719056,0.07747237794819904,3485.251197428184,0.12249836924646823,2160.6910813632285,0.07342390077686153,2018-12-11
1970-01-01 00:00:00.000000036,2587.7926971363363,0.0858499411288919,2404.356399440592,0.07968628186127658,3534.5523663394565,0.12346912170751731,2222.3225906774774,0.07510792317991043,2018-10-17
1970-01-01 00:00:00.000000037,2594.906706747903,0.08616893899360016,2385.333033613656,0.07905941883686664,3545.0430502496633,0.12370813282616713,2217.641829162484,0.07490706025658055,2018-09-18
1970-01-01 00:00:00.000000038,2548.5676443913003,0.08469445804082344,2360.6424744367155,0.07840678258602546,3557.5431470284607,0.12447922425035869,2232.3972820554795,0.07533274614447874,2018-12-03
1970-01-01 00:00:00.000000039,2503.7716748545886,0.08327195482088949,2310.524263610595,0.07676820561791114,3556.4531155648046,0.12468849413194696,2191.9628631106957,0.0739671933817036,2018-12-28
1970-01-01 00:00:00.000000040,2479.9813042903556,0.08258741752618731,2290.7405576150254,0.07624412327454536,3532.9021484263912,0.12417923130786111,2153.447042265204,0.0727375315374391,2018-09-19
1970-01-01 00:00:00.000000041,2504.249368897462,0.08316373812479382,2353.4597204181223,0.0779861421213231,3575.1633423400767,0.1255386732204963,2175.3137970271164,0.07325354346186133,2018-10-31
1970-01-01 00:00:00.000000042,2481.1480810371845,0.08262124686152114,2356.7790106512352,0.07848181572331392,3588.271267196224,0.1268871788650988,2188.3355543197404,0.07411756719980898,2018-09-30
1970-01-01 00:00:00.000000043,2477.4842999085026,0.08296944097158199,2418.4729379091364,0.08162246755105163,3627.5477542707854,0.12947521589921257,2164.283084095056,0.07356018287372178,2018-11-11
1970-01-01 00:00:00.000000044,2436.684562262157,0.08164190406119892,2394.905727522195,0.08102474651091446,3627.6959236348043,0.12994801951419446,2130.2276554162804,0.0724337109489194,2018-10-21
1970-01-01 00:00:00.000000045,2397.6915749116383,0.08036233301282612,2364.690780855881,0.08002189684999254,3621.9567924571847,0.1298970286371494,2095.234376301497,0.07125821753444148,2018-10-29
1970-01-01 00:00:00.000000046,2360.128821177826,0.07912812063478612,2323.8443011103145,0.07863573447328713,3618.3466045671894,0.12986563349134772,2080.288235643314,0.07076080105640696,2018-10-30
1970-01-01 00:00:00.000000047,2325.0094740912923,0.07797457874980752,2291.7231103393083,0.0775532753537487,3612.956471803469,0.12975945181356094,2053.8526711375625,0.06988381966759674,2018-11-14
1970-01-01 00:00:00.000000048,2291.324399264912,0.07686561390014668,2256.064842994844,0.07636074762432414,3605.334182983665,0.12960739955841633,2036.3286054220453,0.06930388944574901,2018-12-17
1970-01-01 00:00:00.000000049,2279.7719259538144,0.07666928934428581,2223.081295139238,0.07531222388297348,3603.8323571617457,0.13004708068381887,2016.9864426107993,0.06874980584733288,2018-09-06
1970-01-01 00:00:00.000000050,2280.6131906634673,0.0771027140242334,2208.4034547767264,0.07508809241206828,3638.0008643028414,0.13227583752648225,1985.9536186705802,0.06777270177027647,2018-10-18
1970-01-01 00:00:00.000000051,2254.351148028668,0.07623928313078196,2189.7545211728684,0.07450744491747155,3639.0520529044547,0.13263031048912788,1956.5448191503367,0.06679560564412193,2018-10-08
